,DATE,AUTHOR,TEXT,FAVORITE,YEAR,MANUFACTURER,MODEL,LABEL
21204,12/17/2006,rideordie,"I've had my max for a few weeks now and I love it. I've driven many V6's but this CVT is, by far, the smoothest, and one of the quickest. It adjusts to your driving style so when your taking it easy, it drives in a higher gear for better fuel economy, and yes as someone said, it can feel a bit lethargic off the line in that mode. Feels like it starts in 2nd? However, if you drive a more aggressively, off the line, at 100 mph, or anywhere in between, this car is a beast! It automatically adjusts and rides in higher RPM's to stays in the ""sweet spot"" where are the power is. It's very sure-footed in corners with hardly no body roll, but feels a bit heavy. All around a quality built car.","Pretty much everything, but the monster engine and CVT tranny are great! Power is never too far away no matter which mode your in. The sporty SE styling is very eye catching! Compliments every time I'm in it.",2007,nissan,maxima,4
12665,05/13/2008,vw2008,"""CHAMPAGNE TASTE ON A BEER BUDGET"" probably covers everything that you need to know about the new Passat, and for all you non-drinkers, you just plug in your cool key and drive. The value to cost ratio is excellent. I tend not to keep cars for over 3-4 years, so as for reliability, the Passat will probably work just fine or will be covered under warranty. On the other hand, my wife has the C. Beetle and she loves it.","MPG, rear and side Shades, aux. input, auto tranny with tiptronic.",2008,volkswagen,passat,5
17162,03/28/2008,harvestmoon,"Fell in love with the car's look and would be a happy camper if it weren't for all of the little hiccups the car had. I owned this car for 6 months. In those 6 months the top stopped working, the door locks and the cd player malfunctioned, the inside started rattling and squeaking, and the gas gauge broke. This was a 2007 NBC! If you are thinking about buying this car, please keep looking. Maybe a mini? Believe me when I say HUGE DISAPPOINTMENT! If you already own one...good luck!","heated seats, color, body style, driver and front passenger space.",2007,volkswagen,new beetle,1
5831,07/28/2008,MYCAR,"We purchased this vehicle in Jan after searching for many months. Had a 6 cyl Ford Windstar minivan, and wanted SUV style w/o the high cost and poor gas milage. After 3300 miles, like other reviewers began hearing rattling noice in driver front side, as well as hesitation when accelerating. Brought back in at 8500 miles, and was told need new transmission! They have had to replace others. I just got the car back 3 days ago, and it STILL hesitates, however rattling is gone, for now. Loved this car, however not sure if it's going to last me many more years. Don't roll down the 2 back windows, as air pressure/noise is terrible.","VDC, very comfortable to drive (travel for a living), great gas mileage,",2008,nissan,rogue,2
11296,11/19/2008,Kanthi Rameswaram,"A co-worker of mine gave me a ride to work one morning. She picked me up in her Acura RL. By the time we reached work I believe I repeated the phrase - ""this is a great car"" - about 5 times. Well I own one now, just completed one year of ownership. Let me tell you folks there is no better value for money in the luxury category. I compared the RL to the BMW 5 and the Audi A6 and I saved about $15k easily. The best car that I have owned bar none. You are surrounded in luxury and comfort. The AWD, steering and handling are superb. I wonder how I ever survived the LA labyrinth without my Acura nav system - it is amazing. The only negative is the rear middle seat, it is uncomfortable.","Navigation, AWD, steering, handling, Bose stereo system. The exterior design of the 2008 is better than the 2009 in my view. It is conservative and will stand the test of time easily. Love my optional wooden steering wheel - the right size and very easy to control.",2008,acura,rl,5
20409,02/12/2008,greg a,"Bought the truck as it looked great in dark red with chrome 20"" wheels/boards and the Hemi. No disappointments, averaging 17 mpg, have driven 20k miles and have not had any warranty repairs or rattles. No complaints","The look, the power.",2007,dodge,ram pickup 1500,5
19279,02/22/2009,emoney1122,"The car drives like a much more expensive sports car. The sport tuned suspension and the VSA keeps you under control at higher speeds. The V-TEC kicks in at 6000 RPM and screams like a Ferrari. So far my car is super reliable. I the overall design, reliability, gas mileage, and the 197 ponies.",V-TEC and sport tuned suspension. The black Si interior is sweet.,2007,honda,civic,5
14553,06/25/2008,Judyteel,I just got the car and love driving it. The best smooth drive (Civic & Vesra horrible to me) and nice handling. My only negative is you cannot shoot into traffic with it. Nice standard and satellite radio with MP3 hook up. Bought for my teenager but I enjoy driving it. Great price for the money. I could not beat it. Not sure of the gas mileage yet.. Keep posted.,I liked the exterior looks. A sporty looking car for a kid without the unnecessary bells and whistles - leaving me with a nice priced car.,2008,chevrolet,cobalt,4
11923,08/29/2008,fireman,The truck drives very smooth. The engine is very responsive for a V6. The truck turns like a big truck.,"Smooth ride,nice interior, sprayed on bedliner. also price.",2008,nissan,frontier,5
3824,12/27/2007,Nice Car,"First time owner of a Mercedes. Engine and transmission very smooth. Nice handling. Lots of standard features, including safety features. Very fast in breaking. Took car to almost 130 - yeah, crazy me!! Car felt very smooth - can't feel the speed. I cruise on freeway and realize I have to ease on the pedal - I'm doing 90. Only 1 complaint - you feel the bumps too hard. Needs improvement on suspension. Yes, it has a sports suspension which has been lowered over the luxury model, but you sure feel those bumps. I've taken few pounds off pressure of the tires to releave this problem - much beter, however, my ""check pressure"" keeps coming up.",Smooth ride. Very nice looking,2008,mercedes-benz,c-class,4
16069,11/10/2006,dgreenone,"I've driven small trucks, 1/2 tons, 1 tons and now a Jeep. I'm going to stick with the Jeep. It's a lot of fun to drive and can really hang the corners without feeling like it's going to roll over. It also pulls my boats just fine and is very stable. I don't feel the Jeep getting pushed around by the trailer like some smaller trucks tend to do. The take off power seemed a bit lacking but turning off the ESP seems to cure that, but this could just all be in my head because I like this ride so much.","Looks great and rides like a Jeep. If your looking for a super smooth ride, buy a Caddy. Good fuel mileage and towing. The layout of the gizmo's on the dash are easy to work and with the hard top I hear very little road noise.",2007,jeep,wrangler,4
17968,07/09/2008,Stranded,"I purchased the Kia Optima 1 year ago- this is my 3rd Kia. I received a Happy Birthday card from the dealer about a week before the shifter cable disengaged and nearly caused me to crash into a car while trying to park. The dealership examined the cable and said that they had never seen anything like it-nothing was broken or damaged, the cable just came off. Now, almost a month later, I am riding shotgun in my husband's truck as the cable once again has ""disengaged"". I seriously think there is a design flaw in this model and I am just glad I have never tried to used the manual shift feature-- imagine having the cable ""disengaging"" at 75 miles an hour on the interstate!",,2007,kia,optima,1
20279,03/23/2009,rotty,"I have a 2007 Nissan versa, I am having problems with it starting, very intermittent, turn key for about 10 seconds, just cranks over and won't start, wife embarrassed trying to start it also, also am having probems with weatherstripping falling off back doors in the same place, not overly impressed with gas mileage as what the sticker says.","I like the power,never have any problems passing",2007,nissan,versa,1
246,04/03/2008,wolfsburgdino,"DSG, black on gray interior. Very solid build, improvement noticeable even over 2007 model (wife has 2007 wolfsburg). Great response and performance from engine and transmission both. Nice sounding engine. 2.0t is much quieter than 2.5 unless you like to hear it growl...it can be somewhat tricky to find right driver seat position, knees tend to hit center console, but i have been able to adjust the seat to minimize the discomfort. find it very hard to stay off the accelerator. can be driving 100 and not notice it. car is very solid and you can feel it. Was able to get a very good price for it. not quite a GLI without all the extra stuff but for 7000 less, you can't beat it.","Performance, one touch windows and sunroof, solid feel, quiet ride.",2008,volkswagen,jetta,3
20903,04/12/2007,"Princeton, NJ","I transitioned to Chrysler several years ago via several company cars and manufacturers failed to live up to the design and quality I was experiencing with Chrysler. Well, once again Chrysler has done it! I have the 28J package in the Pearl Black and have already received several positive comments about the look. It drives flawlessly and there is plenty of room to fit my 6'5"" frame along with the rest of the family. The interior design is quality, leaps and bounds above the competition in addition to the 20 inch wheels along with Hemi put the Escalade, Navigator, and Denali series to shame. Chrylser needs to advertise more and get the word out they have a winner!","Stability, drivability, interior design. Finally a DVD player that can be loaded and controlled in the back by the passengers where it belongs. The bluetooth, satellite and 6 CD, 8 speaker sound system is just icing on the cake.",2007,chrysler,aspen,5
9714,06/20/2007,arkay4,"Owned and loved a 2.5RS since '97! Very agile car and wonderful off roads but it had missing features when the kids came: folding seats, tiny backseat, latches, high profile trunk (cargo nightmare), stripped interior. Looked at the 328ix, LS 350, Evo, STi, TT, G35, 6s. All great but the spec.b outperformed and had everything I wanted on my RS. ""The WRX's older brother,"" a lot of punch with significantly more sophistication. Interior features and ride make this a serious luxury car with a kick. The spec.b was not designed to be as rugged as the RS (my off trail days on hold!) but I'm very happy with my purchase and ecstatic now that I've had it for 6 weeks and booked 4-digit miles :)","'08 interior black (not blue) is more accessible. Seats fold down 60/c/40, fantastic leather seats, great interior, 6-speed, low profile trunk, brakes not too sticky. Shocks, shocks, shocks! I/GT has .a lot of body roll. The spec.b ride is much tighter, stiffer and enjoyable. FCons = RS.",2008,subaru,legacy,5
18056,11/05/2006,Nuce,"I was so excited to get the newly re-designed 2007 Passat Wagon! What a mistake! I have had this vehicle in the shop THREE times since I purchased it in March 2006. The Engine Malfunction lights keeps coming on and the dealership cannot find the problem, except to say that that there is an evaporator leak that they cannot fix it. The service manager also stated that they had several Passats that were doing this. Please don't think that the dealership will back you up on these problems; THEY WON""T...I wrote a letter to VW and they were unwilling to help me too. Volkswagen will NOT stand behind their vehicle. The brakes squeak, too. Do not buy this vehicle.","It is great on gas, even though premium fuel is required. It has great pick up with the turbo engine. The warranty is better than most American cars'. The Triptronic transmission was a blast.",2007,volkswagen,passat,1
16085,01/29/2009,Mike Garry,use it to tow behind a Motorhome works great not a hiway vehicle. great for two people and a little gear. Wish it had more towing like the 4 door,ease of driving,2007,jeep,wrangler,4
13221,06/19/2008,Robert C Shelton Jr,"I first drove a SMART a few years ago from Vienna to Prague. I loved it, and it was much less powered and of less quality construction that my new 2008 model of 2 months and 2000 miles. It's a great little car for convenience, handling, economy and appearance. Just watch out out for potholes and speed bumps, and remember that it is a small, basically low powered car, that will still drive at 80 MPH if you want to - and maybe have to on the Interstates, where huge tractor-trailers often enjoy driving 5-10 feet behind you at that speed. Where are the cops when you need them?","Appearance, comfort, handling, mileage.",2008,smart,fortwo,4
255,03/13/2008,AB54,"I just signed the lease on my car last week. So far, it has been great. It's cute and fun to drive. It is my first new car, so I am enjoying the new car smell :) I traded in my Acura 3.2 CL Type S, so I do feel like I am missing a little bit of power. The Jetta seems a bit sluggish. Still, I am really excited about the car. Super sweet!","The iPod adapter, blue lights, sirius radio, fun to drive",2008,volkswagen,jetta,5
185,04/25/2008,Greg T,"This car handles and rides incredibly. I love everything about it except the following: tilt wheel has a lever which means to move the wheel out of your way, you must move the lever and then relock every time; FM reception is fair; gas filler door is a push from the outside design. It should be a inside release or have a finger opening. The interior materials are way softer than my buddy's 530i; his door handles dig into your knees and hurt. Trunk and seats are huge. Great effort, great car. Buy one now!",Ratchet shifter; looks; ride; handling; incredibly quiet even with windows down and sunroof open (wife's van gives you a headache with any outside air coming in); power,2008,pontiac,g8,4
2823,07/21/2009,Mike from Tempe,"Super impressed with this car (so far)! We've owned Mercedes (S, CLK, & E - Class), Jaguars, and Audis in the past and are tired of paying $200+ for a key-fob!! Switched to Japanese for the reliability factor...and...there's not many of these on the road (vs. 3- series BMW! Quicker 0-60 than my 99' CLK 430!! Would have paid another 20K for a similar model Lexus!","African Rosewood Trim, Bose System, Interior Build Quality, Technology, Acceleration, Handling, etc...",2008,infiniti,g35,5
11576,11/25/2008,postoak,"First, mileage. I get about 24 on my daily commute, 16 strictly city, on cruise-control: 25.5 at 75mph, and 33 (!) at 60mph. Acceleration is more than adequate. If you really punch it you get torque- steer, but it isn't necessary to punch it. It's been trouble-free the first year/21,000 miles. The automatic climate system is MUCH better than the one in my Mercedes and the temperature readout much more accurate than my Mercedes.",Cool blue interior lighting. Storage areas under the cargo bed.,2008,hyundai,santa fe,5
8741,05/17/2009,Justin,"Toyota outdid itsself with this vehicle - it is safe and fun to drive. It is more capable, functional, and reliable than Jeep or Hummer.",safety and handling,2008,toyota,fj cruiser,5
9219,08/12/2009,Jake50,"Great Car. I was originally a Truck guy, But after test driving the malibu i fell in Love.I Bought a LS model with 19500 Miles On it. The 3.5 L V6 Is a must good power acceleration can use some improvement but all around Awesome. Clean car... All my Friends envy the styling of it....Chrome lined Just all Around a must Bye! Highly Recommend!","Interior,Chrome,Body Styling, Tail Lights",2008,chevrolet,malibu,5
9178,07/14/2008,KEN WALL,This car is a great value for mid 30's range. Its quality is second to none. This is my second Volvo and it is really a tight and great riding car,Handling and safety,2008,volvo,s80,5
19455,08/02/2008,William Ream,"I've had ""Spunky"" for less than a year now. Blessings and curses with this metallic blue 2007 Civic sedan are the topic. Inside & outside, this car looks and feels sweet. Sporty yet business worthy, family functional yet mid-life crisis soothing, fuel efficient yet spunky -- I thought this car had it all! The blessings are exactly what Honda would have you to realize...save a buck and fly like a buck through the woods! The curses? Wheel seals to rims: constantly failing while parked on slight lateral inclines. Major cost issue (not under warranty!): the under-carriage shield/bumper assembly fails to clear wheel stops in parking lots causing it to gradually break joints and disengage. Bad!!","Spunk (unless filled with people & luggage). Looks (inspires envy with it's plastic cosmetics). Gas mileage (until replaced by alternative technologies). Dash (well, almost... navigation system at $1800 absurdly expensive). Surprises (like weird white mold under never spilled upon rear floor mats).",2007,honda,civic,3
8858,11/12/2007,Ibycus,"I love everything about this car. The base model is loaded and I only upgraded the wheels, headlights and added a spoiler. I purchased the Matador Red and it's just sexy. I look forward to my drive to work now!","Dual A/C, speakers, safety, comfort",2008,lexus,is 250,5
14892,06/12/2008,skye traveler,"Love my new 2008 Sport Automatic. I researched small high mpg cars for about a year before I decided on the Fit. The FIT is a GREAT car to drive. Fun, sporty & economical!","Pluses: great cargo space, head room, rear leg room, interior & exterior design, maneuverability & quick reaction. We put 2 teenagers and a toddler in the backseat just as comfortably as our passat- with more leg room and our 40 lb dog has plenty of room in the back, which was a surprise for us!",2008,honda,fit,5
10977,08/02/2007,RkQue,"I just purchased the 2008 ES with CVT and oh man is it fun to drive. I got all the options including the navigation system, Sun and Sound package, and bluetooth. This car is such an upgrade from my previous car (02 Chevy Malibu). It handles corners with a breeze, and its high speed pick up is very much unexpected. My brother just bought a brand new Lexus IS 250, and my car has all the same options for less than half the price! With a few performance upgrades coming in the near future, this car will be a fast, head-turning, teched out piece of automobile art! Oh and by the way, it looks great in black!","Exterior styling. Options, options, options! No more shift shock! Future performance upgrades.",2008,mitsubishi,lancer,5
18833,06/09/2007,Linda &amp; Nick,"We made up our minds to get another Toyota, this time the Highlander. Love it. Not too big, not too small, it's just right. It handles smoothly and I have the feeling of security in it. Would suggest this auto to anyone who is looking for safety, height of 4 wheeler, and ride of Lexus. Very comfortable, love it, love it, love it. Can't go wrong buying this one. Well worth it. No negatives on this car.","Love the comfortable seats and different positions. Good for a person 5'3"". Plenty of room for big guy too. Love sound system, moonroof, the idea of having lights automatic for day and night. Great visibility all around. Feel really secure driving my limited Highlander. Nice.",2007,toyota,highlander,5
7730,11/27/2008,K.Bomb,"I road tested several trucks, and liked the Chevrolet, but after driving the Ford truck, I was sold!!! Great ride quality, nice interior, attractive exterior, smooth handling. Glad I opted for the bigger 5.4 engine!","The crew cab has folding rear seats that allow easy access when the owner loads the ""flat"" interior floor area.",2008,ford,f-150,5
14128,11/01/2008,Darryl,"I have loved Chevrolets and GMCs for 30 years. My 03 Chevy Silverado was the best truck I have ever had. The 08 GMC has been the most disappointing truck I have ever purchased. I am constantly getting alarms that include: Park assist off, air bag, low tires when they are not. On top of the alarms that the dealer cannot fix I have had two interior fans replaced and they are rattling again. The motor is tapping even though I do the recommended everything. The ABS brakes act like I am on ice on dry road. Cheaper braking system. Already have warped discs. My o3 brakes went 144K miles. The sun visors are not wide enough to block the sun. Cannot handle the same trailer as the 03.",The highway ride and the way it looks.,2008,gmc,sierra 1500,1
19077,04/02/2008,slime84070,"I was looking for a car and happened to find the si. I have driven the older models and loved them, when I first got in the drivers seat of this car I felt like I was in a Jet ready to take off. I love the feel of the car. It sounds great, has great turning and can get up and go. You get a lot of looks in this car. This car is pretty fast if you need it to. The 8200 redline is a feature I really enjoy. When in 2nd gear and you hit the 6000 rpm the Vtec kicks in, and puts you into your seat. I cant help myself but smile every time. This Si is truly one awesome care and a GREAT purchase. I love the in car features as well. makes driving fun and comfortable.","Vtec, comfort, xm ready, the way the body of the car looks, The sound the muffler makes is great. You don't sound like a cheap old Honda trying to be an Si. It has a nice purr to it.",2007,honda,civic,5
73,12/01/2008,Sam,"Traded 05 Z71 Tahoe that was fully loaded for my LTZ. Great truck, getting 19ish on highway. Dark Interior color rocks, love the power everything, rides great, fun to drive, nav is great. Already had onstar & XM but they are still nice. Excellent quality & ride is great. Considered changing brands until I drove the new style. Great job GM","4 buckets, nav, DVD, power lift gate & remote start & climate control is better than before.",2008,chevrolet,suburban,5
18485,03/22/2007,Mike Hlinak,I gave my Acura MDX to my daughter and was looking for another solid SUV. Fell in love with the MB GL450 at first sight. Beautiful inside and out. Then saw the 320CDI version and drove it. Couldn't believe it was a diesel. Who would believe that you could have large comfortably luxury in an SUV and get 27 mpg on the highway? I was only worried about recent MB quality surveys on Consumer Reports but felt a little better given that the GL was totally redesigned.,I love size and the looks. Navigation is a little complicated but fine once you get the hang of it. The Comm center gives you more information than you'll probably ever want. It has a great ride with a good road feel. You simply can't believe it's a diesel - no delay starting and it's quiet!,2007,mercedes-benz,gl-class,4
12541,07/31/2008,david b.,"The fuel economy is as good as my previous vehicle (Chevy blazer) averaged just over 17 MPG 60% hwy, 40% city. My driving style is a lot more conservative due to the price of gas. The tundra has a lot of room and excellent interior storage areas. Excellent turning radius/easy to drive. Previous reviews hammered the transmission for down shifting too much. Haven't had that problem. Did have some problems w/radio/stereo. It would turn on/off, change stations. Dealer replaced it and haven't had a problem since","Comfort, fuel economy is good for a large size P/U. Due to fuel prices dealers are giving a lot of incentives so a consumer can get a full size truck for a great low price.",2008,toyota,tundra,3
2056,03/29/2008,Jerome K Culp,"Bottom line, the Yaris is awesome. I had auto start and window tinting installed two days after the purchase. Upgraded heater package works good (I live in Alaska where the temp drops to -45 degrees). Center gauges took a little to get used to. Great head & leg room for 6' plus drivers and passengers. Test drive one for yourself. You will love it!",Fuel mileage. Body style. Fast pickup. Great handling. Front wheel drive. Eye catcher.,2008,toyota,yaris,5
8553,08/24/2009,A toss up...,"I currently have one for a company vehicle. Almost 70,000 in 2 years. Vehicle has plenty of power to pull out on busy streets, interior is nicely laid out,(I have auto climate control). No SYNC on earlier model. Decent fuel economy for such a larger vehicle. Styling is nice, even after 70000 miles, its still nice to look at. Fiew issues: CHECK YOUR HOOD! Corrosion on the hoods is a MAJOR issue. I have seen over half with corrosion issues. OEM tires are Terrible! I am currently on my third set, went with GoodYear Integrity tires now. Better ride, better wear. Poor manufacturing standards; Doors don't exactly line up, hood offset, etc. Front brakes wear prematurely.","Exterior styling, Performance, 3rd row folding seat. Interior cargo space. (actually fit a hand-pushed pallet jack) All around a good vehicle....",2008,ford,taurus x,2
20700,05/04/2007,Tiffvh,We purchased the limited version. I think that it was well worth the extra money to have leather and power everything. The heated seats are a bonus as well as it is cold in Wisconsin. We also got the moon roof and a tow hitch added on all for just under 26K. I look at the Honda's and also the Toyota but just couldn't justify paying the extra dollars.,"Moon roof, Leather seats, dual power doors and power tailgate are awesome. Our previous van didn't have power windows or locks which was a pain.",2007,hyundai,entourage,4
12172,10/15/2007,Bob &amp; Emily,"Very pleased with all aspects of this car. Gas mileage exceeded our expectations, getting 25.5 mpg on a recent 600 mile trip. We got just under 28 mpg on the way back. So far we seem to be averaging 20 mpg around town. Kids love the room and the third row seat. Great ride, quiet and comfortable. We're glad this vehicle came with the back up camera without having to get the nav. system. We looked for a long time and at lots of different cars, this easily was the best car for us.","My wife loves the smart key best, but the second row captains chairs and the third row seat for the kids are great. Auto air and the rear air system truly make for a comfortable cabin. Back up camera is a nice safety feature for our neighborhood.",2008,toyota,highlander,5
14246,03/06/2008,Alex,"This is a really good car at this price. Good exterier, fantastic stereo, good power, 100000 miles/5 years limited warranty, etc. A lot of good things. I love this car. Although somebody told me the interior is not good, I chose the light interior, and it is really great.","Stereo system, exterior, magnificent price",2008,pontiac,g6,5
905,08/20/2008,beetle girl,I love this car; but triple with the white arm rest is whacked. Could get a little better gas mileage.,Feels like a girl car.,2008,volkswagen,new beetle,4
18389,07/11/2007,John,"Just about everything about this car is great, at the price paid it should be. It does have a few shortcomings, the trunk lid closes like a piece of tin. The dealer said nothing can be done about it and the back bumper where it fits along the side is a poor fit. Overall the car is joy to drive.",The ride is great and fuel mileage for this type of car is just great.,2007,toyota,avalon,4
4205,10/30/2008,PS,"I drive carpool on the highway everyday (a little tight inside, but oh well) and not so much city anymore. I've only gotten below 30 mpg in the city once, and have gotten over 38 on the highway. My usually get around 34-35 combined. I opted not to get a hybrid as it was not going to be as cost efficient for me as the regular Civic. It's not the best accelerator when pulling onto the highway, but then again I traded in my Odyssey (which I loved but could no longer afford to feed) and I smile every time I stop at the gas station.",Gas mileage,2008,honda,civic,4
18380,10/26/2007,Carlos,"This is a cool car. Traded a Dodge Ram Laramie 4X4 Quad cab for it. Didn't lose much on interior room, doubled my gas milage. Used to jump in my wifes SAAB 9-3 convertible every chance I had before. Not anymore. I like this big, powerful, roomy car. Thus the AvaRooom... roomy and vrooom!!! Lots of compliments on the desert sand mica color scheme. By the way, I did test drive a Lexus ES350. Using the extra money for my kids college tuition. Maintenance is very inexpensive as well. For the most part change oil and rotate tires every 5K miles.",Hidden radio controls on dash and voice activated controls for Navigation and sound system. Lots of room.,2007,toyota,avalon,5
12607,08/18/2007,JRP,"If slot cars could be full scale this might be it. Steering is right on, just point where you want it to go. Suspension is firm but does not beat you up. Transmission is a blast with the engine being eager all the time. Relaxed when you want it to be, fun when you need it to be. Roomier inside than you'd think.",Steering accuracy and feedback. Engine smoothness. Transmission. Muscular looks without a bunch of warmed over skirt plastic.,2008,volkswagen,r32,5
9634,08/11/2009,Nate,This has been a great car for the past year. Very clean look and feels great on the road.,"Hood Scoop, Size of this mid sedan, Ride comfort, Interior look and feel, Fuel Economy is better than advertised. Silly, but I love the feel of the steering wheel.",2008,subaru,legacy,5
1538,09/04/2008,PAINT IT AINT,"I am very disappointed with this purchase, paint has been chipping and continues to bubble on pieces that had been repainted noise in front sounds like needing new breaks this was all in 3 months of purchasing. Headlights had to be completely replaced, washer fluid leaks on hood, tie down in back fell off and again paint bubbling all with in 6 months of owning vehicle. If own the lt sage, please go over it and check for bubbles of pin head paint. It squeaks like an old truck on very hot days and long rides in stop and go traffic, does not have pickup, the dash color reflects on the windshield which is somewhat distracting. Never will I purchase a Mazda.",IPod auxiliary color if stops bubbling before the end of the manufacturer warranty.,2008,mazda,tribute,1
22405,03/24/2007,Ken,"So far, this has been a wonderful car. It is our 4th Saturn since 1997 and is the best so far. Ride is suprisingly quiet and smooth. Handling is ""sporty"" and with the longer wheel base takes the bumps in the road with little notice of the passengers. Workmanship is typical Saturn quality (this is a positive statement)and the only issue was OnStar didn't work out of the showroom but was resolved within a week of purchase. All in all, its Saturn's best to date and it turns heads (we purchased black on black leather). My wife and I argue over who will drive it, she wins during the week and I get it on the weekends.","Interior is quiet, guages and instruments are easily viewed and once you know what they are all for, easy to use.",2007,saturn,aura,4
