,TEXT,label
16,"Bought the truck as it looked great in dark red with chrome 20"" wheels/boards and the Hemi. No disappointments, averaging 17 mpg, have driven 20k miles and have not had any warranty repairs or rattles. No complaints",4
17,"The car drives like a much more expensive sports car. The sport tuned suspension and the VSA keeps you under control at higher speeds. The V-TEC kicks in at 6000 RPM and screams like a Ferrari. So far my car is super reliable. I the overall design, reliability, gas mileage, and the 197 ponies.",4
18,I just got the car and love driving it. The best smooth drive (Civic & Vesra horrible to me) and nice handling. My only negative is you cannot shoot into traffic with it. Nice standard and satellite radio with MP3 hook up. Bought for my teenager but I enjoy driving it. Great price for the money. I could not beat it. Not sure of the gas mileage yet.. Keep posted.,3
19,The truck drives very smooth. The engine is very responsive for a V6. The truck turns like a big truck.,4
20,"First time owner of a Mercedes. Engine and transmission very smooth. Nice handling. Lots of standard features, including safety features. Very fast in breaking. Took car to almost 130 - yeah, crazy me!! Car felt very smooth - can't feel the speed. I cruise on freeway and realize I have to ease on the pedal - I'm doing 90. Only 1 complaint - you feel the bumps too hard. Needs improvement on suspension. Yes, it has a sports suspension which has been lowered over the luxury model, but you sure feel those bumps. I've taken few pounds off pressure of the tires to releave this problem - much beter, however, my ""check pressure"" keeps coming up.",3
21,"I've driven small trucks, 1/2 tons, 1 tons and now a Jeep. I'm going to stick with the Jeep. It's a lot of fun to drive and can really hang the corners without feeling like it's going to roll over. It also pulls my boats just fine and is very stable. I don't feel the Jeep getting pushed around by the trailer like some smaller trucks tend to do. The take off power seemed a bit lacking but turning off the ESP seems to cure that, but this could just all be in my head because I like this ride so much.",3
22,"I purchased the Kia Optima 1 year ago- this is my 3rd Kia. I received a Happy Birthday card from the dealer about a week before the shifter cable disengaged and nearly caused me to crash into a car while trying to park. The dealership examined the cable and said that they had never seen anything like it-nothing was broken or damaged, the cable just came off. Now, almost a month later, I am riding shotgun in my husband's truck as the cable once again has ""disengaged"". I seriously think there is a design flaw in this model and I am just glad I have never tried to used the manual shift feature-- imagine having the cable ""disengaging"" at 75 miles an hour on the interstate!",0
23,"I have a 2007 Nissan versa, I am having problems with it starting, very intermittent, turn key for about 10 seconds, just cranks over and won't start, wife embarrassed trying to start it also, also am having probems with weatherstripping falling off back doors in the same place, not overly impressed with gas mileage as what the sticker says.",0
24,"DSG, black on gray interior. Very solid build, improvement noticeable even over 2007 model (wife has 2007 wolfsburg). Great response and performance from engine and transmission both. Nice sounding engine. 2.0t is much quieter than 2.5 unless you like to hear it growl...it can be somewhat tricky to find right driver seat position, knees tend to hit center console, but i have been able to adjust the seat to minimize the discomfort. find it very hard to stay off the accelerator. can be driving 100 and not notice it. car is very solid and you can feel it. Was able to get a very good price for it. not quite a GLI without all the extra stuff but for 7000 less, you can't beat it.",2
25,"I transitioned to Chrysler several years ago via several company cars and manufacturers failed to live up to the design and quality I was experiencing with Chrysler. Well, once again Chrysler has done it! I have the 28J package in the Pearl Black and have already received several positive comments about the look. It drives flawlessly and there is plenty of room to fit my 6'5"" frame along with the rest of the family. The interior design is quality, leaps and bounds above the competition in addition to the 20 inch wheels along with Hemi put the Escalade, Navigator, and Denali series to shame. Chrylser needs to advertise more and get the word out they have a winner!",4
26,"Owned and loved a 2.5RS since '97! Very agile car and wonderful off roads but it had missing features when the kids came: folding seats, tiny backseat, latches, high profile trunk (cargo nightmare), stripped interior. Looked at the 328ix, LS 350, Evo, STi, TT, G35, 6s. All great but the spec.b outperformed and had everything I wanted on my RS. ""The WRX's older brother,"" a lot of punch with significantly more sophistication. Interior features and ride make this a serious luxury car with a kick. The spec.b was not designed to be as rugged as the RS (my off trail days on hold!) but I'm very happy with my purchase and ecstatic now that I've had it for 6 weeks and booked 4-digit miles :)",4
27,"I was so excited to get the newly re-designed 2007 Passat Wagon! What a mistake! I have had this vehicle in the shop THREE times since I purchased it in March 2006. The Engine Malfunction lights keeps coming on and the dealership cannot find the problem, except to say that that there is an evaporator leak that they cannot fix it. The service manager also stated that they had several Passats that were doing this. Please don't think that the dealership will back you up on these problems; THEY WON""T...I wrote a letter to VW and they were unwilling to help me too. Volkswagen will NOT stand behind their vehicle. The brakes squeak, too. Do not buy this vehicle.",0
28,use it to tow behind a Motorhome works great not a hiway vehicle. great for two people and a little gear. Wish it had more towing like the 4 door,3
29,"I first drove a SMART a few years ago from Vienna to Prague. I loved it, and it was much less powered and of less quality construction that my new 2008 model of 2 months and 2000 miles. It's a great little car for convenience, handling, economy and appearance. Just watch out out for potholes and speed bumps, and remember that it is a small, basically low powered car, that will still drive at 80 MPH if you want to - and maybe have to on the Interstates, where huge tractor-trailers often enjoy driving 5-10 feet behind you at that speed. Where are the cops when you need them?",3
30,"I just signed the lease on my car last week. So far, it has been great. It's cute and fun to drive. It is my first new car, so I am enjoying the new car smell :) I traded in my Acura 3.2 CL Type S, so I do feel like I am missing a little bit of power. The Jetta seems a bit sluggish. Still, I am really excited about the car. Super sweet!",4
31,"This car handles and rides incredibly. I love everything about it except the following: tilt wheel has a lever which means to move the wheel out of your way, you must move the lever and then relock every time; FM reception is fair; gas filler door is a push from the outside design. It should be a inside release or have a finger opening. The interior materials are way softer than my buddy's 530i; his door handles dig into your knees and hurt. Trunk and seats are huge. Great effort, great car. Buy one now!",3
32,"Super impressed with this car (so far)! We've owned Mercedes (S, CLK, & E - Class), Jaguars, and Audis in the past and are tired of paying $200+ for a key-fob!! Switched to Japanese for the reliability factor...and...there's not many of these on the road (vs. 3- series BMW! Quicker 0-60 than my 99' CLK 430!! Would have paid another 20K for a similar model Lexus!",4
33,"First, mileage. I get about 24 on my daily commute, 16 strictly city, on cruise-control: 25.5 at 75mph, and 33 (!) at 60mph. Acceleration is more than adequate. If you really punch it you get torque- steer, but it isn't necessary to punch it. It's been trouble-free the first year/21,000 miles. The automatic climate system is MUCH better than the one in my Mercedes and the temperature readout much more accurate than my Mercedes.",4
34,"Toyota outdid itsself with this vehicle - it is safe and fun to drive. It is more capable, functional, and reliable than Jeep or Hummer.",4
35,"Great Car. I was originally a Truck guy, But after test driving the malibu i fell in Love.I Bought a LS model with 19500 Miles On it. The 3.5 L V6 Is a must good power acceleration can use some improvement but all around Awesome. Clean car... All my Friends envy the styling of it....Chrome lined Just all Around a must Bye! Highly Recommend!",4
36,This car is a great value for mid 30's range. Its quality is second to none. This is my second Volvo and it is really a tight and great riding car,4
37,"I've had ""Spunky"" for less than a year now. Blessings and curses with this metallic blue 2007 Civic sedan are the topic. Inside & outside, this car looks and feels sweet. Sporty yet business worthy, family functional yet mid-life crisis soothing, fuel efficient yet spunky -- I thought this car had it all! The blessings are exactly what Honda would have you to realize...save a buck and fly like a buck through the woods! The curses? Wheel seals to rims: constantly failing while parked on slight lateral inclines. Major cost issue (not under warranty!): the under-carriage shield/bumper assembly fails to clear wheel stops in parking lots causing it to gradually break joints and disengage. Bad!!",2
38,"I love everything about this car. The base model is loaded and I only upgraded the wheels, headlights and added a spoiler. I purchased the Matador Red and it's just sexy. I look forward to my drive to work now!",4
39,"Love my new 2008 Sport Automatic. I researched small high mpg cars for about a year before I decided on the Fit. The FIT is a GREAT car to drive. Fun, sporty & economical!",4
40,"I just purchased the 2008 ES with CVT and oh man is it fun to drive. I got all the options including the navigation system, Sun and Sound package, and bluetooth. This car is such an upgrade from my previous car (02 Chevy Malibu). It handles corners with a breeze, and its high speed pick up is very much unexpected. My brother just bought a brand new Lexus IS 250, and my car has all the same options for less than half the price! With a few performance upgrades coming in the near future, this car will be a fast, head-turning, teched out piece of automobile art! Oh and by the way, it looks great in black!",4
41,"We made up our minds to get another Toyota, this time the Highlander. Love it. Not too big, not too small, it's just right. It handles smoothly and I have the feeling of security in it. Would suggest this auto to anyone who is looking for safety, height of 4 wheeler, and ride of Lexus. Very comfortable, love it, love it, love it. Can't go wrong buying this one. Well worth it. No negatives on this car.",4
42,"I road tested several trucks, and liked the Chevrolet, but after driving the Ford truck, I was sold!!! Great ride quality, nice interior, attractive exterior, smooth handling. Glad I opted for the bigger 5.4 engine!",4
43,"I have loved Chevrolets and GMCs for 30 years. My 03 Chevy Silverado was the best truck I have ever had. The 08 GMC has been the most disappointing truck I have ever purchased. I am constantly getting alarms that include: Park assist off, air bag, low tires when they are not. On top of the alarms that the dealer cannot fix I have had two interior fans replaced and they are rattling again. The motor is tapping even though I do the recommended everything. The ABS brakes act like I am on ice on dry road. Cheaper braking system. Already have warped discs. My o3 brakes went 144K miles. The sun visors are not wide enough to block the sun. Cannot handle the same trailer as the 03.",0
44,"I was looking for a car and happened to find the si. I have driven the older models and loved them, when I first got in the drivers seat of this car I felt like I was in a Jet ready to take off. I love the feel of the car. It sounds great, has great turning and can get up and go. You get a lot of looks in this car. This car is pretty fast if you need it to. The 8200 redline is a feature I really enjoy. When in 2nd gear and you hit the 6000 rpm the Vtec kicks in, and puts you into your seat. I cant help myself but smile every time. This Si is truly one awesome care and a GREAT purchase. I love the in car features as well. makes driving fun and comfortable.",4
45,"Traded 05 Z71 Tahoe that was fully loaded for my LTZ. Great truck, getting 19ish on highway. Dark Interior color rocks, love the power everything, rides great, fun to drive, nav is great. Already had onstar & XM but they are still nice. Excellent quality & ride is great. Considered changing brands until I drove the new style. Great job GM",4
46,I gave my Acura MDX to my daughter and was looking for another solid SUV. Fell in love with the MB GL450 at first sight. Beautiful inside and out. Then saw the 320CDI version and drove it. Couldn't believe it was a diesel. Who would believe that you could have large comfortably luxury in an SUV and get 27 mpg on the highway? I was only worried about recent MB quality surveys on Consumer Reports but felt a little better given that the GL was totally redesigned.,3
47,"The fuel economy is as good as my previous vehicle (Chevy blazer) averaged just over 17 MPG 60% hwy, 40% city. My driving style is a lot more conservative due to the price of gas. The tundra has a lot of room and excellent interior storage areas. Excellent turning radius/easy to drive. Previous reviews hammered the transmission for down shifting too much. Haven't had that problem. Did have some problems w/radio/stereo. It would turn on/off, change stations. Dealer replaced it and haven't had a problem since",2
48,"Bottom line, the Yaris is awesome. I had auto start and window tinting installed two days after the purchase. Upgraded heater package works good (I live in Alaska where the temp drops to -45 degrees). Center gauges took a little to get used to. Great head & leg room for 6' plus drivers and passengers. Test drive one for yourself. You will love it!",4
49,"I currently have one for a company vehicle. Almost 70,000 in 2 years. Vehicle has plenty of power to pull out on busy streets, interior is nicely laid out,(I have auto climate control). No SYNC on earlier model. Decent fuel economy for such a larger vehicle. Styling is nice, even after 70000 miles, its still nice to look at. Fiew issues: CHECK YOUR HOOD! Corrosion on the hoods is a MAJOR issue. I have seen over half with corrosion issues. OEM tires are Terrible! I am currently on my third set, went with GoodYear Integrity tires now. Better ride, better wear. Poor manufacturing standards; Doors don't exactly line up, hood offset, etc. Front brakes wear prematurely.",1
50,We purchased the limited version. I think that it was well worth the extra money to have leather and power everything. The heated seats are a bonus as well as it is cold in Wisconsin. We also got the moon roof and a tow hitch added on all for just under 26K. I look at the Honda's and also the Toyota but just couldn't justify paying the extra dollars.,3
51,"Very pleased with all aspects of this car. Gas mileage exceeded our expectations, getting 25.5 mpg on a recent 600 mile trip. We got just under 28 mpg on the way back. So far we seem to be averaging 20 mpg around town. Kids love the room and the third row seat. Great ride, quiet and comfortable. We're glad this vehicle came with the back up camera without having to get the nav. system. We looked for a long time and at lots of different cars, this easily was the best car for us.",4
52,"This is a really good car at this price. Good exterier, fantastic stereo, good power, 100000 miles/5 years limited warranty, etc. A lot of good things. I love this car. Although somebody told me the interior is not good, I chose the light interior, and it is really great.",4
53,I love this car; but triple with the white arm rest is whacked. Could get a little better gas mileage.,3
54,"Just about everything about this car is great, at the price paid it should be. It does have a few shortcomings, the trunk lid closes like a piece of tin. The dealer said nothing can be done about it and the back bumper where it fits along the side is a poor fit. Overall the car is joy to drive.",3
55,"I drive carpool on the highway everyday (a little tight inside, but oh well) and not so much city anymore. I've only gotten below 30 mpg in the city once, and have gotten over 38 on the highway. My usually get around 34-35 combined. I opted not to get a hybrid as it was not going to be as cost efficient for me as the regular Civic. It's not the best accelerator when pulling onto the highway, but then again I traded in my Odyssey (which I loved but could no longer afford to feed) and I smile every time I stop at the gas station.",3
56,"This is a cool car. Traded a Dodge Ram Laramie 4X4 Quad cab for it. Didn't lose much on interior room, doubled my gas milage. Used to jump in my wifes SAAB 9-3 convertible every chance I had before. Not anymore. I like this big, powerful, roomy car. Thus the AvaRooom... roomy and vrooom!!! Lots of compliments on the desert sand mica color scheme. By the way, I did test drive a Lexus ES350. Using the extra money for my kids college tuition. Maintenance is very inexpensive as well. For the most part change oil and rotate tires every 5K miles.",4
57,"If slot cars could be full scale this might be it. Steering is right on, just point where you want it to go. Suspension is firm but does not beat you up. Transmission is a blast with the engine being eager all the time. Relaxed when you want it to be, fun when you need it to be. Roomier inside than you'd think.",4
58,This has been a great car for the past year. Very clean look and feels great on the road.,4
59,"I am very disappointed with this purchase, paint has been chipping and continues to bubble on pieces that had been repainted noise in front sounds like needing new breaks this was all in 3 months of purchasing. Headlights had to be completely replaced, washer fluid leaks on hood, tie down in back fell off and again paint bubbling all with in 6 months of owning vehicle. If own the lt sage, please go over it and check for bubbles of pin head paint. It squeaks like an old truck on very hot days and long rides in stop and go traffic, does not have pickup, the dash color reflects on the windshield which is somewhat distracting. Never will I purchase a Mazda.",0
60,"So far, this has been a wonderful car. It is our 4th Saturn since 1997 and is the best so far. Ride is suprisingly quiet and smooth. Handling is ""sporty"" and with the longer wheel base takes the bumps in the road with little notice of the passengers. Workmanship is typical Saturn quality (this is a positive statement)and the only issue was OnStar didn't work out of the showroom but was resolved within a week of purchase. All in all, its Saturn's best to date and it turns heads (we purchased black on black leather). My wife and I argue over who will drive it, she wins during the week and I get it on the weekends.",3
61,I drove all the comparable cars in this class and I fell in love with the styling and interior of the civic. The front seats have plenty of leg room and I love the digital speedometer close to the windshield.,4
62,"I think the Altima is a good quality product and you get a lot of car for the money; however, I have some issues with it. Most importantly, the exterior of the car crinkles very easily (per auto body mechanic). I had a plastic empty shopping car 3 inches away from the car. It rolled into my car and made a ding. I hope I never get into an accident! I also had a problem with my TPMS light malfunctioning. Also, there is a terrible blind spot when you back up from parking spaces. My sister-in-law has the same problem with her Altima. It's either the back of the car is too high or it's the fact there isn't a good visual field from inside the car. not enough window. Very dangerous.",2
63,"I had owned a 97 Ford Explorer for 8 years and put 250,000 miles on it. I have been looking for a good quality, highly reliable, comfortable SUV and all roads and research led me to purchase an 08 Ford Edge. I had been researching for 6 months, looking at Chevy, Honda, Lincoln, Toyota Highlander, and GMC Acaidia. I decided on the Edge because it met all the requirements of what I wanted in my next vehicle. I average 25 - 30,000 miles a year, so relibility, comfort, interior room and gas mileage were all important factors. I have driven it 4,400 miles now and have been averaging 19.9 miles/gallon overall. Congrats to Ford! I would highly recommend the Edge to anyone looking for a new SUV.",4
64,I purchased my first Honda after doing much research on the fuel economy of cars. I bought it new with six miles on it and have had problems with it drifting to the right. I have had it in four times already. First time they did a front end alignment which had failed. It still pulled to the right. Returned that day and they switched tires from rear to front and said it was a radial pull and they put all new tires on it. It continues to drift and now they are telling me it is the road and all Hondas drift to the right. It never pulls left. They also scratched my paint up on the visit with their complimentary wash. Very unhappy!!!,0
65,"I have my XTerra now almost 1.5 years, and I never regret buying it. However, I think, the dealership ripped me off a bit. The car is fun to drive, just a bit hard over bumps in the road. I wouldn't recommend it to anyone with back problems. I frequently drive long distances, and It's a bit tough on gas mileage, which is even worse in the city. One tank filling lasts about 360 highway miles. The air condition is o.k., but not great during the hot season in Louisiana. Features, that I miss: The tank is not lockable, and the dealer told me not to buy a lockable tank lid, because this would not seal properly. The antenna can't be pushed in. The sound system is awful.",2
66,"We replace a car for this truck, and so far just love it, we have 5000 miles on it. Looked at the Tacoma but this was a lot more truck for the money. We have the SE pkg and 4 wheel drive. Gives you a very nice ride. Gas mileage was a little low till we put on the Bakflip cover and that improved mileage 25% to 30%. Well worth the money for the cover. Will pay for itself.",3
67,"I've had my Cobalt a little over a year now, its a fun little car, but ii was expecting more from it. I added new rims/tires and a new exhaust because the appearance was somewhat plain. The inside looks really cheap, Chevy needs a major upgrade on the interior. I have yet to see the mileage Chevy says it gets, a little frustrating. I'd say its a good beginner car, but not really able to compete with other cars in the same category, it just falls short.",1
68,"Just bought this car in April...love it!!! Great price, style, and comfort what better car to buy for your money. I think everyone should own one!!",4
69,"The Aura is a very comfortable vehicle. My previous car has a 2006 Honda Accord. The Aura is mor comfortable, quieter, and gets the same gas mileage. For the money I think it is a better car than the Honda Accord.",4
70,"I don't spend a lot of time on the road, but when I drive, I love to drive this SUV. It handles like a car, and is easy to get in and out of tight spaces. Internal cargo space is good, with enough seating flexibility to carry larger items. It gets good mileage, and has enough power under the hood for all driving needs.The seating area is flexible and comfortable. Over all, I am extremely satisfied with my Honda CR-V, and I know I will get years of reliable performance from it.",4
71,"We have owned everything from Porches, BMWs, Mercedes, and Corvettes and this is by far the best car. The combination of power and luxury is unbeatable. The looks of this car are stunning with the AMG package. Not to mention a hand-built engine that is to die for. The price for this car is a little on the high side for the market but in comparison to the M6, it is an overall better car. Highly recommend for any high performance car enthusiast, it will be a nice treat.",4
72,I love love love my ridge. A solid frame and body construction can you say stronger than yours the avalanche doesn't compare I've driven both and that Honda is the better I've only got 300 mi on mine and I'm getting 14.7 mpg in town that beats out most trucks after the break in period I love the exterior looks and it is extremely comfortable I bought the bottom of the line to save $$$ how many trucks out there have all the engineering and safety features on the bottom trim level that they have on the top Honda,4
73,"Quality and craftmanship are the norms in this new 2008 E Class. Bluetooth should standard, rather than being required to purchase a connection module. Upgrading to P2 package well worth the investment. Handles exceptionally at high speeds, as well as cornering. The sport model is also a plus. Pick up and performance is excellent.",4
74,"This car, so far, has impressed us with the acceleration, comfort and overall good looks. We got rid of a SUV, and this is a great alternative. In Southern Italy where we live, it isn't uncommon for people to drive quite fast(80-100 MPH/130-160 KPH) yet this car keeps up with them all. The styling is top notch and is the best in it's class. We bought the V50 2.4, Grey metallic with dark beige interior premium sound with 12 speakers. Wow!!. Awesome! We have 3 daughters ages 13, 6 and 1 year and they all fit well even with a car seat.We looked at several other Euro wagons and this Volvo tops them all.",4
75,"I have owned my civic for 10 months, it has been very, very good to me. It has the typical 3rd gear issue, but if you go to the dealership with this (08-020) Service bulletin they will fix it free of charge. I average about 28 mpg in NYC which is great. In Ohio i was getting closer to 40 mpg on the highway. The MPG is better then my co-workers smart car, and it is much better looking as well. It has terrible blind spots, and the factory head lights are terrible. The stock radio is ""ok"" and replacing it is a nightmare. But for a stock car at the 20 grand mark. There is nothing more fun, or better to drive. It can use some more torque.",3
76,"Overall, a great car for its price. Can't get a hard top that seats 4 from anywhere else. Like the title says, you'll be turning some heads when you lower the top at a signal. It's not built for performance though... looks sporty but really isn't.",3
77,"The 2007 Volkswagen Passat 2.0T has excellent all around functionality, a great feel, great design and it gets good gas mileage too.",4
78,"This car is without a doubt to me, the best car for a family currently on the market (for those who are non-minivan lovers). The driver and passenger feel like they are in a luxury car, while the kids feel like they are in a roomy minivan-like environment, with a DVD player, 110V outlet for the x-box, and easy in and out due to the lower than most SUV's ground clearance. Our 3 year old can easily get in and out himself. Overall, it's a fantastic car that is fun to drive yet has all the features that a busy family is looking for.",4
79,"There are better choices out there, unless you want AWD with traction and stability control and great gas mileage. What other AWD vehicle gets better than 24/30 mpg? 145 hp does not make this a sports car, but you can safely merge into traffic and keep up. In bad weather, you can pass almost everyone on the road. The list of features on the Sport model is impressive. At less than $17,000, I will not nitpick. I also own a 2006 Aerio SX Premium.",3
80,"The Altima coupe has the best-looking backend of any car out there at any price. Look at it from the rear and a little to the side and its a joy to behold. The 4 cylinders get you up to speed without even trying. Back seat has more headroom (slightly) than the Scion tC and Civic coupe -- but a 6-footer's head might touch the rear window. Not sure about mileage. I'm still on the first tank, but it seems fairly decent. Front seats are very comfortable, with good driver's lumbar support. Driver's leg compartment is more comfortable than Civic coupe, where the parking hand brake bothered my knee, and more spacious than the Mazda 3 sedan that crowded my lower leg. A lot of quality for the money.",3
81,"This is a wonderful car for the price. At about 13,000 you can't expect much. The Yaris is like a a good $5 hamburger, it's good, but it's not a filet mignon. For the price, I feel this is the best car out there. I did a lot of shopping before buying and am very pleased with it. For a while I was a little iffy, but then I got the windows tinted and it looks way better, especially since I got a dark blue color. Dark cars need dark windows. This was my first car.",4
82,"I have owned several MB before, but this one is a car that stands uo to a BMW in ride, and size. The performance is excellence as well as the handling. My car has two option the i-pod in the glove box a waste for me, but not my kids. Also the optional headlamps which are great for lighting your way. I strongly suggest this option for older folks, it help alot. So far the car is great, and the fuel economy is not bad either in the upper 20's combine with city and highway. This car is a lot for the buck, and truely a great value. This car car hums like a bimmer, and rides like a tank as a Mercedes should be.",4
83,I recently had a problem with car such that the a/c was blowing only hot air. A trip to dealer showed an undiscovered leak in the refrigerant from the system. They were unable to find the leak after 4 hours and have placed a dye in the refrigerant to try to find the 'pin hole' leak. I've never had this problem with a Japanese vehicle. Has anyone else experienced this problem? I now am supposed to drive the car for 3 months and return the vehicle for 'discovery' of the leak.,1
84,"At first we loved this car, then the problems started. I've had it in twice for doors leaking from sunroof drain tubes, going to take it again soon. Seats are ruined from water damage. Have had the strut mounts replaced, windshield wiper blades recalled, can't seem to get the popping noises fixed underneath. We are very upset, also the car won't even make it up our driveway because of the gravels. It stinks for a front wheel drive! wish we never traded. I feel like we have been cheated. This car is a lemon!!",0
85,"All around solid, dependable truck. Daily driver, 75 highway miles/day. Average 20-22 MPG. Traded an '03 Dodge Dakota for it, and what a difference. Not all good, sadly. As some have said here, the brakes are horrible and Toyota should be ashamed of them. The peppy 4.0L V6 makes the 3.9 in the Dakota seem like a 4 cylinder however, with excellent torque and high end power. Ride is good... it's a truck, after all. Much more comfortable than the Dodge, and I love the dash/control layout. Once I wear out the atrocious stock Dunlop tires and replace with something decent handling will be great.",2
